nohup: ignoring input
Using TensorFlow backend.
DEBUG:main:200:	Size Word Vocab: 25999
DEBUG:main:206:	Train Word X: (79832, 105)
DEBUG:main:207:	Train Y: (79832, 105, 1)
DEBUG:main:213:	Val Word X: (4982, 105)
DEBUG:main:214:	Val Y: (4982, 105, 1)
DEBUG:main:220:	Test Word X: (5000, 105)
DEBUG:main:221:	Test Y: (5000, 105, 1)
DEBUG:main:225:	Size Char Vocab: 136
DEBUG:main:232:	Train Char X: (79832, 105, 33)
DEBUG:main:239:	Val Char X: (4982, 105, 33)
DEBUG:main:246:	Test Char X: (5000, 105, 33)
WARNING:tensorflow:From /home/ec2-user/anaconda3/envs/tensorflow_p36/lib/python3.6/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:new_func:323:	From /home/ec2-user/anaconda3/envs/tensorflow_p36/lib/python3.6/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From /home/ec2-user/anaconda3/envs/tensorflow_p36/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:3445: calling dropout (from tensorflow.python.ops.nn_ops) with keep_prob is deprecated and will be removed in a future version.
Instructions for updating:
Please use `rate` instead of `keep_prob`. Rate should be set to `rate = 1 - keep_prob`.
WARNING:new_func:506:	From /home/ec2-user/anaconda3/envs/tensorflow_p36/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:3445: calling dropout (from tensorflow.python.ops.nn_ops) with keep_prob is deprecated and will be removed in a future version.
Instructions for updating:
Please use `rate` instead of `keep_prob`. Rate should be set to `rate = 1 - keep_prob`.
WARNING:tensorflow:From /home/ec2-user/anaconda3/envs/tensorflow_p36/lib/python3.6/site-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:new_func:323:	From /home/ec2-user/anaconda3/envs/tensorflow_p36/lib/python3.6/site-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
Loading Model
Train on 79832 samples, validate on 4982 samples
 1248/79832 [..............................] - ETA: 22:53 - loss: 5.2947
 1280/79832 [..............................] - ETA: 22:51 - loss: 5.2955
 1312/79832 [..............................] - ETA: 22:47 - loss: 5.2926
 1344/79832 [..............................] - ETA: 22:44 - loss: 5.2925
 1376/79832 [..............................] - ETA: 22:41 - loss: 5.2903
 1408/79832 [..............................] - ETA: 22:39 - loss: 5.2945
 1440/79832 [..............................] - ETA: 22:37 - loss: 5.2929
 1472/79832 [..............................] - ETA: 22:34 - loss: 5.2965
 1504/79832 [..............................] - ETA: 22:32 - loss: 5.2903
 1536/79832 [..............................] - ETA: 22:30 - loss: 5.2913
 1568/79832 [..............................] - ETA: 22:29 - loss: 5.2854
 1600/79832 [..............................] - ETA: 22:26 - loss: 5.2882
 1632/79832 [..............................] - ETA: 22:25 - loss: 5.2855
 1664/79832 [..............................] - ETA: 22:23 - loss: 5.2815
 1696/79832 [..............................] - ETA: 22:21 - loss: 5.2832
 1728/79832 [..............................] - ETA: 22:20 - loss: 5.2791
 1760/79832 [..............................] - ETA: 22:18 - loss: 5.2810
 1792/79832 [..............................] - ETA: 22:16 - loss: 5.2824
 1824/79832 [..............................] - ETA: 22:15 - loss: 5.2853
 1856/79832 [..............................] - ETA: 22:13 - loss: 5.2877
 1888/79832 [..............................] - ETA: 22:11 - loss: 5.2866
 1920/79832 [..............................] - ETA: 22:09 - loss: 5.2815
 1952/79832 [..............................] - ETA: 22:07 - loss: 5.2816
 1984/79832 [..............................] - ETA: 22:06 - loss: 5.2825
 2016/79832 [..............................] - ETA: 22:05 - loss: 5.2829
 2048/79832 [..............................] - ETA: 22:03 - loss: 5.2804
 2080/79832 [..............................] - ETA: 22:02 - loss: 5.2836
 2112/79832 [..............................] - ETA: 22:01 - loss: 5.2801
 2144/79832 [..............................] - ETA: 22:00 - loss: 5.2836
 2176/79832 [..............................] - ETA: 21:59 - loss: 5.2852
 2208/79832 [..............................] - ETA: 21:57 - loss: 5.2860
 2240/79832 [..............................] - ETA: 21:56 - loss: 5.2862
 2272/79832 [..............................] - ETA: 21:55 - loss: 5.2892
 2304/79832 [..............................] - ETA: 21:54 - loss: 5.2893
 2336/79832 [..............................] - ETA: 21:53 - loss: 5.2886
 2368/79832 [..............................] - ETA: 21:51 - loss: 5.2912
 2400/79832 [..............................] - ETA: 21:50 - loss: 5.2918
 2432/79832 [..............................] - ETA: 21:49 - loss: 5.2935
 2464/79832 [..............................] - ETA: 21:48 - loss: 5.2903
 2496/79832 [..............................] - ETA: 21:46 - loss: 5.2905
 2528/79832 [..............................] - ETA: 21:45 - loss: 5.2918
 2560/79832 [..............................] - ETA: 21:44 - loss: 5.2883
 2592/79832 [..............................] - ETA: 21:43 - loss: 5.2894
 2624/79832 [..............................] - ETA: 21:42 - loss: 5.2901
 2656/79832 [..............................] - ETA: 21:41 - loss: 5.2873
 2688/79832 [>.............................] - ETA: 21:41 - loss: 5.2889
 2720/79832 [>.............................] - ETA: 21:40 - loss: 5.2857
 2752/79832 [>.............................] - ETA: 21:39 - loss: 5.2846
 2784/79832 [>.............................] - ETA: 21:38 - loss: 5.2791
 2816/79832 [>.............................] - ETA: 21:37 - loss: 5.2822
 2848/79832 [>.............................] - ETA: 21:36 - loss: 5.2861
 2880/79832 [>.............................] - ETA: 21:35 - loss: 5.2827
 2912/79832 [>.............................] - ETA: 21:34 - loss: 5.2825
 2944/79832 [>.............................] - ETA: 21:33 - loss: 5.2821
 2976/79832 [>.............................] - ETA: 21:32 - loss: 5.2826
 3008/79832 [>.............................] - ETA: 21:31 - loss: 5.2817
 3040/79832 [>.............................] - ETA: 21:30 - loss: 5.2810
 3072/79832 [>.............................] - ETA: 21:30 - loss: 5.2815
 3104/79832 [>.............................] - ETA: 21:29 - loss: 5.2832
 3136/79832 [>.............................] - ETA: 21:27 - loss: 5.2867
 3168/79832 [>.............................] - ETA: 21:26 - loss: 5.2853
 3200/79832 [>.............................] - ETA: 21:26 - loss: 5.2834
 3232/79832 [>.............................] - ETA: 21:25 - loss: 5.2825
 3264/79832 [>.............................] - ETA: 21:24 - loss: 5.2811
 3296/79832 [>.............................] - ETA: 21:23 - loss: 5.2838
 3328/79832 [>.............................] - ETA: 21:22 - loss: 5.2855
 3360/79832 [>.............................] - ETA: 21:21 - loss: 5.2834
 3392/79832 [>.............................] - ETA: 21:21 - loss: 5.2848
 3424/79832 [>.............................] - ETA: 21:20 - loss: 5.2849
 3456/79832 [>.............................] - ETA: 21:19 - loss: 5.2851
 3488/79832 [>.............................] - ETA: 21:18 - loss: 5.2853
 3520/79832 [>.............................] - ETA: 21:17 - loss: 5.2828
 3552/79832 [>.............................] - ETA: 21:16 - loss: 5.2799
 3584/79832 [>.............................] - ETA: 21:16 - loss: 5.2807
 3616/79832 [>.............................] - ETA: 21:15 - loss: 5.2814
 3648/79832 [>.............................] - ETA: 21:14 - loss: 5.2825
 3680/79832 [>.............................] - ETA: 21:13 - loss: 5.2843
 3712/79832 [>.............................] - ETA: 21:13 - loss: 5.2830
 3744/79832 [>.............................] - ETA: 21:12 - loss: 5.2846
 3776/79832 [>.............................] - ETA: 21:11 - loss: 5.2840
 3808/79832 [>.............................] - ETA: 21:10 - loss: 5.2828
 3840/79832 [>.............................] - ETA: 21:09 - loss: 5.2805
 3872/79832 [>.............................] - ETA: 21:08 - loss: 5.2797
 3904/79832 [>.............................] - ETA: 21:08 - loss: 5.2813
 3936/79832 [>.............................] - ETA: 21:07 - loss: 5.2802
 3968/79832 [>.............................] - ETA: 21:06 - loss: 5.2799
 4000/79832 [>.............................] - ETA: 21:05 - loss: 5.2797
 4032/79832 [>.............................] - ETA: 21:05 - loss: 5.2792
 4064/79832 [>.............................] - ETA: 21:04 - loss: 5.2800
 4096/79832 [>.............................] - ETA: 21:03 - loss: 5.2826
 4128/79832 [>.............................] - ETA: 21:03 - loss: 5.2847
 4160/79832 [>.............................] - ETA: 21:02 - loss: 5.2851
 4192/79832 [>.............................] - ETA: 21:01 - loss: 5.2863
 4224/79832 [>.............................] - ETA: 21:00 - loss: 5.2875
 4256/79832 [>.............................] - ETA: 21:00 - loss: 5.2890
 4288/79832 [>.............................] - ETA: 20:59 - loss: 5.2883
 4320/79832 [>.............................] - ETA: 20:58 - loss: 5.2895
 4352/79832 [>.............................] - ETA: 20:58 - loss: 5.2876
 4384/79832 [>.............................] - ETA: 20:57 - loss: 5.2876
 4416/79832 [>.............................] - ETA: 20:56 - loss: 5.2886
 4448/79832 [>.............................] - ETA: 20:55 - loss: 5.2888
 4480/79832 [>.............................] - ETA: 20:55 - loss: 5.2894
 4512/79832 [>.............................] - ETA: 20:54 - loss: 5.2903
 4544/79832 [>.............................] - ETA: 20:53 - loss: 5.2910
 4576/79832 [>.............................] - ETA: 20:53 - loss: 5.2911
 4608/79832 [>.............................] - ETA: 20:52 - loss: 5.2917
 4640/79832 [>.............................] - ETA: 20:51 - loss: 5.2921
 4672/79832 [>.............................] - ETA: 20:51 - loss: 5.2926
 4704/79832 [>.............................] - ETA: 20:50 - loss: 5.2932
 4736/79832 [>.............................] - ETA: 20:49 - loss: 5.2936
 4768/79832 [>.............................] - ETA: 20:48 - loss: 5.2932
 4800/79832 [>.............................] - ETA: 20:48 - loss: 5.2923
 4832/79832 [>.............................] - ETA: 20:47 - loss: 5.2919
 4864/79832 [>.............................] - ETA: 20:46 - loss: 5.2925
 4896/79832 [>.............................] - ETA: 20:46 - loss: 5.2937
 4928/79832 [>.............................] - ETA: 20:45 - loss: 5.2955
 4960/79832 [>.............................] - ETA: 20:44 - loss: 5.2947
 4992/79832 [>.............................] - ETA: 20:44 - loss: 5.2947
 5024/79832 [>.............................] - ETA: 20:43 - loss: 5.2929
 5056/79832 [>.............................] - ETA: 20:42 - loss: 5.2922
 5088/79832 [>.............................] - ETA: 20:42 - loss: 5.2935
 5120/79832 [>.............................] - ETA: 20:41 - loss: 5.2924
 5152/79832 [>.............................] - ETA: 20:41 - loss: 5.2949
 5184/79832 [>.............................] - ETA: 20:40 - loss: 5.2954
 5216/79832 [>.............................] - ETA: 20:39 - loss: 5.2962
 5248/79832 [>.............................] - ETA: 20:39 - loss: 5.2946
 5280/79832 [>.............................] - ETA: 20:38 - loss: 5.2957
 5312/79832 [>.............................] - ETA: 20:37 - loss: 5.2971
 5344/79832 [=>............................] - ETA: 20:37 - loss: 5.2993
 5376/79832 [=>............................] - ETA: 20:36 - loss: 5.2992
 5408/79832 [=>............................] - ETA: 20:35 - loss: 5.2989
 5440/79832 [=>............................] - ETA: 20:35 - loss: 5.2978
 5472/79832 [=>............................] - ETA: 20:34 - loss: 5.2979
 5504/79832 [=>............................] - ETA: 20:33 - loss: 5.2982
 5536/79832 [=>............................] - ETA: 20:33 - loss: 5.2999
 5568/79832 [=>............................] - ETA: 20:32 - loss: 5.3000
 5600/79832 [=>............................] - ETA: 20:31 - loss: 5.3009
 5632/79832 [=>............................] - ETA: 20:31 - loss: 5.3012
 5664/79832 [=>............................] - ETA: 20:30 - loss: 5.3023
 5696/79832 [=>............................] - ETA: 20:29 - loss: 5.3032
 5728/79832 [=>............................] - ETA: 20:28 - loss: 5.3035
 5760/79832 [=>............................] - ETA: 20:28 - loss: 5.3022
 5792/79832 [=>............................] - ETA: 20:27 - loss: 5.3020
 5824/79832 [=>............................] - ETA: 20:27 - loss: 5.3018
 5856/79832 [=>............................] - ETA: 20:26 - loss: 5.3016
 5888/79832 [=>............................] - ETA: 20:25 - loss: 5.3017
 5920/79832 [=>............................] - ETA: 20:25 - loss: 5.3010
 5952/79832 [=>............................] - ETA: 20:24 - loss: 5.3027
 5984/79832 [=>............................] - ETA: 20:23 - loss: 5.3041
 6016/79832 [=>............................] - ETA: 20:23 - loss: 5.3035
 6048/79832 [=>............................] - ETA: 20:22 - loss: 5.3029
 6080/79832 [=>............................] - ETA: 20:22 - loss: 5.3036
 6112/79832 [=>............................] - ETA: 20:21 - loss: 5.3044
 6144/79832 [=>............................] - ETA: 20:20 - loss: 5.3041
 6176/79832 [=>............................] - ETA: 20:20 - loss: 5.3032
 6208/79832 [=>............................] - ETA: 20:19 - loss: 5.3011
 6240/79832 [=>............................] - ETA: 20:18 - loss: 5.3007
 6272/79832 [=>............................] - ETA: 20:18 - loss: 5.3004
 6304/79832 [=>............................] - ETA: 20:17 - loss: 5.3010
 6336/79832 [=>............................] - ETA: 20:16 - loss: 5.3017
 6368/79832 [=>............................] - ETA: 20:16 - loss: 5.3019
 6400/79832 [=>............................] - ETA: 20:15 - loss: 5.3021
 6432/79832 [=>............................] - ETA: 20:14 - loss: 5.3009
 6464/79832 [=>............................] - ETA: 20:14 - loss: 5.3015
 6496/79832 [=>............................] - ETA: 20:13 - loss: 5.2996
 6528/79832 [=>............................] - ETA: 20:13 - loss: 5.2999
 6560/79832 [=>............................] - ETA: 20:12 - loss: 5.3003
 6592/79832 [=>............................] - ETA: 20:12 - loss: 5.3017
 6624/79832 [=>............................] - ETA: 20:11 - loss: 5.3024
 6656/79832 [=>............................] - ETA: 20:10 - loss: 5.3032
 6688/79832 [=>............................] - ETA: 20:10 - loss: 5.3028
 6720/79832 [=>............................] - ETA: 20:09 - loss: 5.3022
 6752/79832 [=>............................] - ETA: 20:09 - loss: 5.3011
 6784/79832 [=>............................] - ETA: 20:08 - loss: 5.3014
 6816/79832 [=>............................] - ETA: 20:07 - loss: 5.3018
 6848/79832 [=>............................] - ETA: 20:07 - loss: 5.3018
 6880/79832 [=>............................] - ETA: 20:06 - loss: 5.3015
 6912/79832 [=>............................] - ETA: 20:05 - loss: 5.3029
 6944/79832 [=>............................] - ETA: 20:05 - loss: 5.3022
 6976/79832 [=>............................] - ETA: 20:04 - loss: 5.3025
 7008/79832 [=>............................] - ETA: 20:04 - loss: 5.3021
 7040/79832 [=>............................] - ETA: 20:03 - loss: 5.3018
 7072/79832 [=>............................] - ETA: 20:03 - loss: 5.3018
 7104/79832 [=>............................] - ETA: 20:02 - loss: 5.3027
 7136/79832 [=>............................] - ETA: 20:02 - loss: 5.3022
 7168/79832 [=>............................] - ETA: 20:01 - loss: 5.3018
 7200/79832 [=>............................] - ETA: 20:01 - loss: 5.3018
 7232/79832 [=>............................] - ETA: 20:00 - loss: 5.3000
 7264/79832 [=>............................] - ETA: 20:00 - loss: 5.2996
 7296/79832 [=>............................] - ETA: 19:59 - loss: 5.2990
 7328/79832 [=>............................] - ETA: 19:58 - loss: 5.3006
 7360/79832 [=>............................] - ETA: 19:58 - loss: 5.3001
 7392/79832 [=>............................] - ETA: 19:57 - loss: 5.3001
 7424/79832 [=>............................] - ETA: 19:57 - loss: 5.3005
 7456/79832 [=>............................] - ETA: 19:56 - loss: 5.3008
 7488/79832 [=>............................] - ETA: 19:55 - loss: 5.3012
 7520/79832 [=>............................] - ETA: 19:55 - loss: 5.3025
 7552/79832 [=>............................] - ETA: 19:54 - loss: 5.3034
 7584/79832 [=>............................] - ETA: 19:54 - loss: 5.3041
 7616/79832 [=>............................] - ETA: 19:53 - loss: 5.3044
 7648/79832 [=>............................] - ETA: 19:53 - loss: 5.3043
 7680/79832 [=>............................] - ETA: 19:52 - loss: 5.3045
 7712/79832 [=>............................] - ETA: 19:52 - loss: 5.3056
 7744/79832 [=>............................] - ETA: 19:51 - loss: 5.3059
 7776/79832 [=>............................] - ETA: 19:50 - loss: 5.3053
 7808/79832 [=>............................] - ETA: 19:50 - loss: 5.3049
 7840/79832 [=>............................] - ETA: 19:49 - loss: 5.3049
 7872/79832 [=>............................] - ETA: 19:49 - loss: 5.3048
 7904/79832 [=>............................] - ETA: 19:48 - loss: 5.3044
 7936/79832 [=>............................] - ETA: 19:48 - loss: 5.3041
 7968/79832 [=>............................] - ETA: 19:47 - loss: 5.3031
 8000/79832 [==>...........................] - ETA: 19:47 - loss: 5.3025
 8032/79832 [==>...........................] - ETA: 19:46 - loss: 5.3022
 8064/79832 [==>...........................] - ETA: 19:45 - loss: 5.3027
 8096/79832 [==>...........................] - ETA: 19:45 - loss: 5.3022
 8128/79832 [==>...........................] - ETA: 19:44 - loss: 5.3025
 8160/79832 [==>...........................] - ETA: 19:44 - loss: 5.3028
 8192/79832 [==>...........................] - ETA: 19:43 - loss: 5.3030
 8224/79832 [==>...........................] - ETA: 19:43 - loss: 5.3025
 8256/79832 [==>...........................] - ETA: 19:42 - loss: 5.3037
 8288/79832 [==>...........................] - ETA: 19:41 - loss: 5.3029
 8320/79832 [==>...........................] - ETA: 19:41 - loss: 5.3024
 8352/79832 [==>...........................] - ETA: 19:40 - loss: 5.3016
 8384/79832 [==>...........................] - ETA: 19:40 - loss: 5.3012
 8416/79832 [==>...........................] - ETA: 19:39 - loss: 5.3001
 8448/79832 [==>...........................] - ETA: 19:39 - loss: 5.3002
 8480/79832 [==>...........................] - ETA: 19:38 - loss: 5.3007
 8512/79832 [==>...........................] - ETA: 19:37 - loss: 5.3016
 8544/79832 [==>...........................] - ETA: 19:37 - loss: 5.3021
 8576/79832 [==>...........................] - ETA: 19:36 - loss: 5.3024
 8608/79832 [==>...........................] - ETA: 19:36 - loss: 5.3022
 8640/79832 [==>...........................] - ETA: 19:35 - loss: 5.3007
 8672/79832 [==>...........................] - ETA: 19:35 - loss: 5.3007
 8704/79832 [==>...........................] - ETA: 19:34 - loss: 5.3005
 8736/79832 [==>...........................] - ETA: 19:33 - loss: 5.3019
 8768/79832 [==>...........................] - ETA: 19:33 - loss: 5.3018
 8800/79832 [==>...........................] - ETA: 19:32 - loss: 5.3022
 8832/79832 [==>...........................] - ETA: 19:32 - loss: 5.3028
 8864/79832 [==>...........................] - ETA: 19:31 - loss: 5.3030
 8896/79832 [==>...........................] - ETA: 19:31 - loss: 5.3034
 8928/79832 [==>...........................] - ETA: 19:30 - loss: 5.3037
 8960/79832 [==>...........................] - ETA: 19:30 - loss: 5.3035
 8992/79832 [==>...........................] - ETA: 19:29 - loss: 5.3038
 9024/79832 [==>...........................] - ETA: 19:28 - loss: 5.3047
 9056/79832 [==>...........................] - ETA: 19:28 - loss: 5.3041
 9088/79832 [==>...........................] - ETA: 19:27 - loss: 5.3043
 9120/79832 [==>...........................] - ETA: 19:27 - loss: 5.3046
 9152/79832 [==>...........................] - ETA: 19:26 - loss: 5.3048
 9184/79832 [==>...........................] - ETA: 19:25 - loss: 5.3046
 9216/79832 [==>...........................] - ETA: 19:25 - loss: 5.3053
 9248/79832 [==>...........................] - ETA: 19:24 - loss: 5.3055
 9280/79832 [==>...........................] - ETA: 19:24 - loss: 5.3060
 9312/79832 [==>...........................] - ETA: 19:23 - loss: 5.3060
 9344/79832 [==>...........................] - ETA: 19:23 - loss: 5.3066
 9376/79832 [==>...........................] - ETA: 19:22 - loss: 5.3075
 9408/79832 [==>...........................] - ETA: 19:22 - loss: 5.3079
 9440/79832 [==>...........................] - ETA: 19:21 - loss: 5.3077
 9472/79832 [==>...........................] - ETA: 19:20 - loss: 5.3077
 9504/79832 [==>...........................] - ETA: 19:20 - loss: 5.3077
 9536/79832 [==>...........................] - ETA: 19:19 - loss: 5.3079
 9568/79832 [==>...........................] - ETA: 19:19 - loss: 5.3080
 9600/79832 [==>...........................] - ETA: 19:18 - loss: 5.3081
 9632/79832 [==>...........................] - ETA: 19:18 - loss: 5.3079
 9664/79832 [==>...........................] - ETA: 19:17 - loss: 5.3076
 9696/79832 [==>...........................] - ETA: 19:16 - loss: 5.3073
 9728/79832 [==>...........................] - ETA: 19:16 - loss: 5.3074
 9760/79832 [==>...........................] - ETA: 19:15 - loss: 5.3076
 9792/79832 [==>...........................] - ETA: 19:15 - loss: 5.3083
 9824/79832 [==>...........................] - ETA: 19:14 - loss: 5.3081
 9856/79832 [==>...........................] - ETA: 19:14 - loss: 5.3086
 9888/79832 [==>...........................] - ETA: 19:13 - loss: 5.3094
 9920/79832 [==>...........................] - ETA: 19:13 - loss: 5.3106
 9952/79832 [==>...........................] - ETA: 19:12 - loss: 5.3108
 9984/79832 [==>...........................] - ETA: 19:11 - loss: 5.3103
10016/79832 [==>...........................] - ETA: 19:11 - loss: 5.3106
10048/79832 [==>...........................] - ETA: 19:10 - loss: 5.3103
10080/79832 [==>...........................] - ETA: 19:10 - loss: 5.3103
10112/79832 [==>...........................] - ETA: 19:09 - loss: 5.3113
10144/79832 [==>...........................] - ETA: 19:08 - loss: 5.3114
10176/79832 [==>...........................] - ETA: 19:08 - loss: 5.3106
10208/79832 [==>...........................] - ETA: 19:07 - loss: 5.3114
10240/79832 [==>...........................] - ETA: 19:07 - loss: 5.3115
10272/79832 [==>...........................] - ETA: 19:06 - loss: 5.3110
10304/79832 [==>...........................] - ETA: 19:06 - loss: 5.3111
10336/79832 [==>...........................] - ETA: 19:05 - loss: 5.3124
10368/79832 [==>...........................] - ETA: 19:05 - loss: 5.3125
10400/79832 [==>...........................] - ETA: 19:04 - loss: 5.3133
10432/79832 [==>...........................] - ETA: 19:04 - loss: 5.3138
10464/79832 [==>...........................] - ETA: 19:03 - loss: 5.3141
10496/79832 [==>...........................] - ETA: 19:02 - loss: 5.3142
10528/79832 [==>...........................] - ETA: 19:02 - loss: 5.3147
10560/79832 [==>...........................] - ETA: 19:01 - loss: 5.3141
10592/79832 [==>...........................] - ETA: 19:01 - loss: 5.3142
10624/79832 [==>...........................] - ETA: 19:00 - loss: 5.3146
10656/79832 [===>..........................] - ETA: 19:00 - loss: 5.3131
10688/79832 [===>..........................] - ETA: 18:59 - loss: 5.3129
10720/79832 [===>..........................] - ETA: 18:59 - loss: 5.3130
10752/79832 [===>..........................] - ETA: 18:58 - loss: 5.3136
10784/79832 [===>..........................] - ETA: 18:58 - loss: 5.3144
10816/79832 [===>..........................] - ETA: 18:57 - loss: 5.3144
10848/79832 [===>..........................] - ETA: 18:56 - loss: 5.3144
10880/79832 [===>..........................] - ETA: 18:56 - loss: 5.3151
10912/79832 [===>..........................] - ETA: 18:55 - loss: 5.3155
10944/79832 [===>..........................] - ETA: 18:55 - loss: 5.3148
10976/79832 [===>..........................] - ETA: 18:54 - loss: 5.3139
11008/79832 [===>..........................] - ETA: 18:54 - loss: 5.3135
11040/79832 [===>..........................] - ETA: 18:53 - loss: 5.3134
11072/79832 [===>..........................] - ETA: 18:53 - loss: 5.3130
11104/79832 [===>..........................] - ETA: 18:52 - loss: 5.3129
11136/79832 [===>..........................] - ETA: 18:52 - loss: 5.3129
11168/79832 [===>..........................] - ETA: 18:51 - loss: 5.3126
11200/79832 [===>..........................] - ETA: 18:51 - loss: 5.3132
11232/79832 [===>..........................] - ETA: 18:50 - loss: 5.3132
11264/79832 [===>..........................] - ETA: 18:50 - loss: 5.3136
